id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,gmaps_url,source
dago-pakar-restoran-view,Dago Pakar Restoran View,Kuliner,Deretan restoran di kawasan Dago Pakar dengan pemandangan kota Bandung,0,90,-6.845,107.642,4.2,"['view-kota', 'romantis', 'restoran', 'malam']","Pilih tempat 10', pesan & tunggu 20', makan & view 60'",https://www.google.com/maps/search/?api=1&query=Dago%20Pakar%20Restoran%20View%2C%20Bandung,unknown
trans-studio-bandung,Trans Studio Bandung,Wisata,Taman hiburan indoor terbesar di Bandung dengan berbagai wahana seru,150000,270,-6.9246,107.6376,4.4,"['wahana', 'keluarga', 'indoor', 'theme-park']","Antri & orientasi 20', wahana 90', makan siang 45', wahana lanjut 75', oleh-oleh 40'",https://www.google.com/maps/search/?api=1&query=Trans%20Studio%20Bandung%2C%20Bandung,unknown
kebun-binatang-bandung,Kebun Binatang Bandung,Wisata,Kebun binatang klasik di pusat kota dengan koleksi satwa beragam,60000,150,-6.9072,107.6078,4.1,"['binatang', 'keluarga', 'edukatif', 'satwa']","Masuk & peta 10', keliling 90', foto 30', istirahat 20'",https://www.google.com/maps/search/?api=1&query=Kebun%20Binatang%20Bandung%2C%20Bandung,unknown
farmhouse-susu-lembang,Farmhouse Susu Lembang,Wisata,Agrowisata bergaya Eropa di Lembang dengan atraksi susu segar dan hewan,35000,120,-6.8214,107.5956,4.4,"['foto-eropa', 'susu', 'agro', 'instagramable']","Foto venue 15', interaksi hewan 30', susu & foto 30', area 25', oleh-oleh 20'",https://www.google.com/maps/search/?api=1&query=Farmhouse%20Susu%20Lembang%2C%20Bandung,unknown
the-great-asia-africa,The Great Asia Africa,Wisata,Destinasi wisata foto tematik dengan replika landmark Asia & Afrika,40000,120,-6.9338,107.4925,4.3,"['foto-tematik', 'instagramable', 'landmark', 'attraction']","Orientasi 10', zona Asia 40', foto 40', zona Afrika 30'",https://www.google.com/maps/search/?api=1&query=The%20Great%20Asia%20Africa%2C%20Bandung,unknown
maribaya-hot-spring,Maribaya Hot Spring,Wisata,Sumber air panas alam dengan kolam renang dan waterpark di Lembang,50000,150,-6.8167,107.65,4.2,"['air-panas', 'kolam', 'hot-spring', 'relaksasi']","Ganti 15', rendam 60', waterpark 45', bilas 30'",https://www.google.com/maps/search/?api=1&query=Maribaya%20Hot%20Spring%2C%20Bandung,unknown
cihampelas-walk-ciwalk,Cihampelas Walk (Ciwalk),Wisata,Mall semi outdoor dengan konsep unik di Jalan Cihampelas yang ikonik,0,120,-6.899,107.6053,4.3,"['mall', 'semi-outdoor', 'fashion', 'shopping']","Keliling 20', belanja 50', makan 30', foto 20'",https://www.google.com/maps/search/?api=1&query=Cihampelas%20Walk%20%28Ciwalk%29%2C%20Bandung,unknown
factory-outlet-dago,Factory Outlet Dago,Wisata,Deretan factory outlet premium di Jalan Dago dengan merek lokal dan internasional,0,105,-6.88,107.613,4.2,"['outlet', 'factory', 'diskon', 'shopping']","Pilih FO 10', belanja 70', checkout 15', makan 10'",https://www.google.com/maps/search/?api=1&query=Factory%20Outlet%20Dago%2C%20Bandung,unknown
gunung-kendang,Gunung Kendang,Alam,,27000,101,-7.2452629,107.7085691,4.0,"['2608', 'peak', 'stratovolcano', 'q675072', 'category:mount_kendang', 'en:mount_kendang']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kendang%2C%20Bandung,osm
pasir-leutik,Pasir Leutik,Alam,,29000,131,-6.910556,107.872778,4.5,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Leutik%2C%20Bandung,osm
gunung-leutik,Gunung Leutik,Alam,,10000,114,-6.910556,107.521944,4.4,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Leutik%2C%20Bandung,osm
gunung-padang,Gunung Padang,Alam,,23000,130,-7.052778,107.416389,4.5,"['mt', 'peak', 'modify_date:_2003-07-31']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Padang%2C%20Bandung,osm
gunung-cibatuipis,Gunung Cibatuipis,Alam,,26000,107,-7.1765,107.7607,4.4,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cibatuipis%2C%20Bandung,osm
gunung-canggok,Gunung Canggok,Alam,,20000,134,-6.774167,107.766111,4.7,"['1602', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Canggok%2C%20Bandung,osm
pasir-karasak,Pasir Karasak,Alam,,20000,118,-7.2407566,107.4147288,4.4,"['1813', 'mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Karasak%2C%20Bandung,osm
gunung-waringin,Gunung Waringin,Alam,,19000,100,-7.1952,107.4944,4.6,"['mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Waringin%2C%20Bandung,osm
gunung-ranggasena,Gunung Ranggasena,Alam,,15000,101,-7.0212,107.4233,4.5,"['mt', 'peak', 'modify_date:_2008-03-26']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Ranggasena%2C%20Bandung,osm
gunung-cilutung,Gunung Cilutung,Alam,,31000,107,-7.1392,107.8095,4.7,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cilutung%2C%20Bandung,osm
gunung-cayur,Gunung Cayur,Alam,,34000,136,-7.0713,107.4741,4.3,"['1176', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cayur%2C%20Bandung,osm
gunung-haruman,Gunung Haruman,Alam,,32000,107,-7.1405,107.8675,4.2,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Haruman%2C%20Bandung,osm
pasir-badak,Pasir Badak,Alam,,19000,122,-7.0403,107.4281,4.7,"['1239', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Badak%2C%20Bandung,osm
pasir-ekek,Pasir Ekek,Alam,,15000,131,-6.865278,107.445556,4.4,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Ekek%2C%20Bandung,osm
gunung-benteng,Gunung Benteng,Alam,,23000,131,-6.767778,107.4875,4.3,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Benteng%2C%20Bandung,osm
gunung-malahaji,Gunung Malahaji,Alam,,12000,103,-7.114722,107.718056,3.8,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Malahaji%2C%20Bandung,osm
pasir-nanggerang,Pasir Nanggerang,Alam,,22000,131,-6.815556,107.483611,4.7,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Nanggerang%2C%20Bandung,osm
pasir-serewen,Pasir Serewen,Alam,,26000,131,-6.993889,107.891944,4.4,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Serewen%2C%20Bandung,osm
gunung-bulangur,Gunung Bulangur,Alam,,11000,114,-6.968889,107.51,4.1,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Bulangur%2C%20Bandung,osm
gunung-hawu,Gunung Hawu,Alam,,22000,131,-6.835145,107.4564868,4.1,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Hawu%2C%20Bandung,osm
pasir-kerak,Pasir Kerak,Alam,,24000,121,-7.0148,107.3959,4.3,"['953', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Kerak%2C%20Bandung,osm
gunung-putri,Gunung Putri,Alam,,32000,109,-6.811667,107.755,4.1,"['1872', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Putri%2C%20Bandung,osm
gunung-buluh,Gunung Buluh,Alam,,15000,114,-6.7992705,107.6697873,4.5,"['1220', 'hll', 'peak', 'modify_date:_2002-09-23']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Buluh%2C%20Bandung,osm
pasir-singacandra,Pasir Singacandra,Alam,,26000,131,-6.789167,107.403333,4.6,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Singacandra%2C%20Bandung,osm
pasir-nyangegeng,Pasir Nyangegeng,Alam,,18000,116,-6.968056,107.370556,4.1,"['mt', 'peak', 'modify_date:_2007-05-17']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Nyangegeng%2C%20Bandung,osm
pasir-ayakan,Pasir Ayakan,Alam,,15000,100,-7.1217,107.8721,4.2,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Ayakan%2C%20Bandung,osm
pasir-seuseupan,Pasir Seuseupan,Alam,,34000,131,-6.870278,107.409167,4.1,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Seuseupan%2C%20Bandung,osm
pasir-bango,Pasir Bango,Alam,,18000,131,-6.903056,107.388889,4.8,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bango%2C%20Bandung,osm
gunung-batumaseuk,Gunung Batumaseuk,Alam,,10000,131,-6.995833,107.461944,4.4,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Batumaseuk%2C%20Bandung,osm
pasir-wangun,Pasir Wangun,Alam,,19000,116,-6.979722,107.363056,4.3,"['mt', 'peak', 'modify_date:_2007-05-17']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Wangun%2C%20Bandung,osm
gunung-puncaklingga,Gunung Puncaklingga,Alam,,20000,130,-7.095278,107.498889,4.7,"['mt', 'peak', 'modify_date:_2003-07-31']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Puncaklingga%2C%20Bandung,osm
gunung-tilu,Gunung Tilu,Alam,,12000,109,-7.1063,107.3861,4.3,"['1905', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tilu%2C%20Bandung,osm
gunung-maud,Gunung Maud,Alam,,22000,100,-7.2225,107.4873,4.4,"['mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Maud%2C%20Bandung,osm
pasir-maung,Pasir Maung,Alam,,22000,100,-7.1122,107.8312,4.2,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Maung%2C%20Bandung,osm
gunung-sirahcikancung,Gunung Sirahcikancung,Alam,,26000,100,-7.0329,107.8381,4.7,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Sirahcikancung%2C%20Bandung,osm
gunung-gagak,Gunung Gagak,Alam,,22000,103,-7.212778,107.731389,4.4,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Gagak%2C%20Bandung,osm
gunung-karang,Gunung Karang,Alam,,23000,131,-6.818056,107.462778,4.4,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Karang%2C%20Bandung,osm
gunung-kencana,Gunung Kencana,Alam,,34000,131,-6.765,107.868333,4.3,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kencana%2C%20Bandung,osm
pasir-kolecer,Pasir Kolecer,Alam,,27000,131,-6.803889,107.431389,3.9,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Kolecer%2C%20Bandung,osm
gunung-gadung,Gunung Gadung,Alam,,32000,134,-7.0274,107.4869,4.4,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Gadung%2C%20Bandung,osm
pasir-bojongloa,Pasir Bojongloa,Alam,,26000,135,-6.795833,107.494722,4.5,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bojongloa%2C%20Bandung,osm
gunung-dogdog,Gunung Dogdog,Alam,,24000,139,-6.8112933,107.8365638,4.1,"['970', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Dogdog%2C%20Bandung,osm
pasir-goong,Pasir Goong,Alam,,28000,131,-6.894167,107.393611,4.4,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Goong%2C%20Bandung,osm
pasir-tonjong,Pasir Tonjong,Alam,,18000,131,-6.795556,107.439444,4.5,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Tonjong%2C%20Bandung,osm
gunung-cakra,Gunung Cakra,Alam,,31000,107,-7.1325,107.8173,3.7,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cakra%2C%20Bandung,osm
gunung-kerud,Gunung Kerud,Alam,,11000,101,-7.0083,107.4806,4.4,"['mt', 'peak', 'modify_date:_2008-03-26']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kerud%2C%20Bandung,osm
pasir-bengkung,Pasir Bengkung,Alam,,24000,132,-6.7875,107.500278,4.4,"['1040', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bengkung%2C%20Bandung,osm
gunung-aul,Gunung Aul,Alam,,33000,134,-7.012222,107.485278,4.7,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Aul%2C%20Bandung,osm
gunung-kufa,Gunung Kufa,Alam,,27000,124,-7.228056,107.743611,4.4,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kufa%2C%20Bandung,osm
gunung-masigit,Gunung Masigit,Alam,,26000,140,-6.8125,107.585,4.5,"['1274', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Masigit%2C%20Bandung,osm
gunung-orem,Gunung Orem,Alam,,31000,116,-6.785833,107.733333,4.0,"['1322', 'hll', 'peak', 'modify_date:_2002-09-23']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Orem%2C%20Bandung,osm
pasir-cibodas,Pasir Cibodas,Alam,,30000,131,-6.789444,107.468333,4.4,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cibodas%2C%20Bandung,osm
pasir-pari,Pasir Pari,Alam,,25000,116,-6.989167,107.354722,4.3,"['mt', 'peak', 'modify_date:_2007-05-17']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Pari%2C%20Bandung,osm
pasir-gugunungan,Pasir Gugunungan,Alam,,15000,135,-6.862222,107.470278,4.1,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Gugunungan%2C%20Bandung,osm
gunung-kancing,Gunung Kancing,Alam,,31000,100,-7.1175,107.822,3.6,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kancing%2C%20Bandung,osm
pasir-bojongawi,Pasir Bojongawi,Alam,,27000,131,-6.795556,107.484444,4.5,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bojongawi%2C%20Bandung,osm
gunung-cibeureum,Gunung Cibeureum,Alam,,32000,124,-7.179722,107.742222,4.2,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cibeureum%2C%20Bandung,osm
gunung-lagadar,Gunung Lagadar,Alam,,34000,114,-6.923333,107.531667,4.7,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Lagadar%2C%20Bandung,osm
pasir-batukeupeul,Pasir Batukeupeul,Alam,,16000,131,-6.963611,107.493889,4.5,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Batukeupeul%2C%20Bandung,osm
gunung-kaseproke,Gunung Kaseproke,Alam,,15000,122,-7.0072,107.475,4.5,"['1185', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kaseproke%2C%20Bandung,osm
pasir-kamuning,Pasir Kamuning,Alam,,30000,131,-6.815278,107.465556,4.3,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Kamuning%2C%20Bandung,osm
pasir-cimahi,Pasir Cimahi,Alam,,27000,114,-6.989444,107.509722,4.3,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cimahi%2C%20Bandung,osm
pasir-pamipiran,Pasir Pamipiran,Alam,,32000,134,-7.0415,107.4491,4.6,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Pamipiran%2C%20Bandung,osm
gunung-beling,Gunung Beling,Alam,,22000,107,-7.1536,107.7765,4.4,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Beling%2C%20Bandung,osm
gunung-kiarapayung,Gunung Kiarapayung,Alam,,13000,131,-6.765,107.495833,3.9,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kiarapayung%2C%20Bandung,osm
gunung-sumbul,Gunung Sumbul,Alam,,30000,109,-7.2069,107.4591,4.3,"['1807', 'mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Sumbul%2C%20Bandung,osm
pasir-sumanget,Pasir Sumanget,Alam,,13000,135,-6.958889,107.488333,4.6,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Sumanget%2C%20Bandung,osm
pasir-batununggal,Pasir Batununggal,Alam,,30000,131,-6.844722,107.415,4.2,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Batununggal%2C%20Bandung,osm
gunung-jahe,Gunung Jahe,Alam,,18000,107,-7.1421,107.7748,4.3,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Jahe%2C%20Bandung,osm
gunung-celak,Gunung Celak,Alam,,33000,100,-7.0168,107.3572,4.1,"['1274', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Celak%2C%20Bandung,osm
gunung-tanjung,Gunung Tanjung,Alam,,12000,131,-6.850556,107.451389,3.9,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tanjung%2C%20Bandung,osm
gunung-langit,Gunung Langit,Alam,,29000,131,-6.807778,107.864444,4.1,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Langit%2C%20Bandung,osm
gunung-kanti,Gunung Kanti,Alam,,10000,100,-7.2145,107.3579,4.5,"['mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kanti%2C%20Bandung,osm
gunung-tikukur,Gunung Tikukur,Alam,,30000,122,-7.1,107.833333,4.6,"['mt', 'peak', 'modify_date:_1994-01-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tikukur%2C%20Bandung,osm
pasir-citatah,Pasir Citatah,Alam,,16000,131,-6.8852316,107.8336237,4.2,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Citatah%2C%20Bandung,osm
pasir-raja,Pasir Raja,Alam,,22000,119,-6.814219,107.8070089,4.3,"['1667', 'mt', 'peak', 'modify_date:_2008-12-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Raja%2C%20Bandung,osm
gunung-puncakcae,Gunung Puncakcae,Alam,,29000,103,-7.198333,107.721111,4.1,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Puncakcae%2C%20Bandung,osm
pasir-gembol,Pasir Gembol,Alam,,13000,131,-6.839444,107.483056,4.5,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Gembol%2C%20Bandung,osm
pasir-aseupan,Pasir Aseupan,Alam,,23000,131,-6.820833,107.465833,4.3,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Aseupan%2C%20Bandung,osm
gunung-halimun,Gunung Halimun,Alam,,28000,131,-6.846667,107.439444,4.5,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Halimun%2C%20Bandung,osm
pasir-rampadan,Pasir Rampadan,Alam,,28000,124,-7.050556,107.502778,4.0,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Rampadan%2C%20Bandung,osm
gunung-batukarut,Gunung Batukarut,Alam,,28000,131,-6.843611,107.809722,4.3,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Batukarut%2C%20Bandung,osm
